Date intervention,TotalDowntime,FailureCount
2016-07-04,0.0,1
2016-07-11,0.0,0
2016-07-18,4.0,4
2016-07-25,0.0,0
2016-08-01,0.0,0
2016-08-08,0.0,1
2016-08-15,0.0,0
2016-08-22,0.0,0
2016-08-29,0.0,0
2016-09-05,0.0,0
2016-09-12,0.0,0
2016-09-19,0.0,0
2016-09-26,0.0,0
2016-10-03,0.0,0
2016-10-10,0.0,0
2016-10-17,0.0,1
2016-10-24,7.8332999999999995,6
2016-10-31,10.4167,6
2016-11-07,5.0,3
2016-11-14,77.5,5
2016-11-21,2549.4166999999998,22
2016-11-28,73.75,5
2016-12-05,0.4167,1
2016-12-12,0.0,0
2016-12-19,10.583400000000001,8
2016-12-26,0.0,0
2017-01-02,12.3333,21
2017-01-09,316.25,5
2017-01-16,0.0,1
2017-01-23,13.283299999999999,4
2017-01-30,12.3667,7
2017-02-06,152.75,9
2017-02-13,41.5,5
2017-02-20,709.2167,11
2017-02-27,90.9667,8
2017-03-06,288.6501,18
2017-03-13,178.7833,10
2017-03-20,87.23339999999999,22
2017-03-27,12.75,8
2017-04-03,98.3999,8
2017-04-10,1289.4501,21
2017-04-17,136.9999,16
2017-04-24,718.3166,11
2017-05-01,18.5834,13
2017-05-08,117.3,14
2017-05-15,249.4334,12
2017-05-22,40.2501,9
2017-05-29,211.76659999999998,15
2017-06-05,79.66669999999999,12
2017-06-12,183.0333,11
2017-06-19,143.9167,18
2017-06-26,58.8333,9
2017-07-03,33.3333,9
2017-07-10,104.8333,13
2017-07-17,202.6332,14
2017-07-24,265.6832,14
2017-07-31,110.0,14
2017-08-07,59.3333,12
2017-08-14,89.6666,10
2017-08-21,176.9333,14
2017-08-28,406.2668,18
2017-09-04,37.9667,12
2017-09-11,33.9501,12
2017-09-18,73.1666,9
2017-09-25,93.91669999999999,12
2017-10-02,172.7833,15
2017-10-09,245.4333,11
2017-10-16,63.5334,13
2017-10-23,212.4167,10
2017-10-30,28.3167,6
2017-11-06,136.98329999999999,6
2017-11-13,95.1666,11
2017-11-20,93.7333,9
2017-11-27,73.4167,6
2017-12-04,99.58330000000001,8
2017-12-11,216.88330000000002,10
2017-12-18,131.08339999999998,7
2017-12-25,161.4166,4
2018-01-01,6465.0,8
2018-01-08,257.1667,13
2018-01-15,156.8334,10
2018-01-22,835.9167,13
2018-01-29,139.1,10
2018-02-05,502.5833,23
2018-02-12,144.51670000000001,18
2018-02-19,291.7832,11
2018-02-26,381.5167,11
2018-03-05,102.3834,13
2018-03-12,75.85,10
2018-03-19,236.68322999999998,20
2018-03-26,107.16669999999999,9
2018-04-02,1624.0166900000002,22
2018-04-09,53.033339999999995,13
2018-04-16,113.08333999999999,14
2018-04-23,36.04999,5
2018-04-30,27.93333,13
2018-05-07,22.66666,10
2018-05-14,2066.71666,13
2018-05-21,51.416669999999996,13
2018-05-28,129.81666,20
2018-06-04,41.44998,18
2018-06-11,14.0,13
2018-06-18,17.46668,10
2018-06-25,22.05,5
2018-07-02,74.06668,17
2018-07-09,51.21667,16
2018-07-16,68.66667,18
2018-07-23,83.08333,18
2018-07-30,76.16667,9
2018-08-06,73.58334,12
2018-08-13,31.78335,12
2018-08-20,33.93332,11
2018-08-27,3607.63333,7
2018-09-03,126.66666000000001,15
2018-09-10,428.66667,13
2018-09-17,130.71667,9
2018-09-24,461.03333,18
2018-10-01,892.60001,10
2018-10-08,118.43333000000001,12
2018-10-15,17.6,17
2018-10-22,251.16666999999998,19
2018-10-29,88.08334,19
2018-11-05,73.99999,23
2018-11-12,392.41668000000004,29
2018-11-19,102.48332,25
2018-11-26,131.61668,20
2018-12-03,98.75,31
2018-12-10,31.73332,18
2018-12-17,33.18333,13
2018-12-24,77.01665,30
2018-12-31,30.83333,19
2019-01-07,21.08334,21
2019-01-14,50.44999,26
2019-01-21,75.16667000000001,21
2019-01-28,47.90001,25
2019-02-04,65.93334,22
2019-02-11,24.19999,11
2019-02-18,61.45001,27
2019-02-25,96.2,28
2019-03-04,50.34999,19
2019-03-11,61.08334,14
2019-03-18,57.74998,23
2019-03-25,64.49999,9
2019-04-01,116.25,11
2019-04-08,124.41668,17
2019-04-15,106.73334,29
2019-04-22,132.58335,17
2019-04-29,56.966660000000005,19
2019-05-06,57.53333,17
2019-05-13,290.98334,21
2019-05-20,116.78333,15
2019-05-27,163.66665,16
2019-06-03,36.98332,11
2019-06-10,20.5,3
2019-06-17,45.98333,17
2019-06-24,30204.2,21
2019-07-01,271.59999,17
2019-07-08,62.78333,18
2019-07-15,54.99998,22
2019-07-22,62.833330000000004,16
2019-07-29,70.60000000000001,19
2019-08-05,49.23334,17
2019-08-12,34.1,13
2019-08-19,247.00001,8
2019-08-26,72.49999,14
2019-09-02,193.68332,20
2019-09-09,72.66666000000001,17
2019-09-16,110.36664999999999,29
2019-09-23,170.41667,26
2019-09-30,218.34999,25
2019-10-07,166.08330999999998,27
2019-10-14,115.13335,24
2019-10-21,39071.66666,54
2019-10-28,1325.99999,23
2019-11-04,290.55001,26
2019-11-11,17.16666,11
2019-11-18,632.26666,18
2019-11-25,85.45000999999999,15
2019-12-02,114.86668999999999,25
2019-12-09,62.79999,28
2019-12-16,35.25001,16
2019-12-23,14.266670000000001,10
2019-12-30,57.08334,14
2020-01-06,94.83333,19
2020-01-13,433.91666000000004,24
2020-01-20,74.58333,28
2020-01-27,214.66667999999999,35
2020-02-03,304.55001,34
2020-02-10,155.21667000000002,21
2020-02-17,263.45,27
2020-02-24,2930.16662,45
2020-03-02,92.63333,27
2020-03-09,194.23333,38
2020-03-16,261.11668000000003,25
2020-03-23,48.36666,31
2020-03-30,235.75,34
2020-04-06,20.88334,19
2020-04-13,6.41666,4
2020-04-20,15.36666,10
2020-04-27,31.41666,10
2020-05-04,2.86667,3
2020-05-11,11.0,7
2020-05-18,478.16667,12
2020-05-25,209.73333000000002,10
2020-06-01,21.61667,3
2020-06-08,1332.66667,13
2020-06-15,395.88334,14
2020-06-22,335.0,8
2020-06-29,5.21666,9
2020-07-06,396.58334,20
2020-07-13,558.23333,18
2020-07-20,180.0,7
2020-07-27,9.91667,5
2020-08-03,3643.16666,12
2020-08-10,22.0,12
2020-08-17,184.33332,10
2020-08-24,71.46667,11
2020-08-31,31.38333,16
2020-09-07,336.41667,14
2020-09-14,234.21666,24
2020-09-21,64.75,21
2020-09-28,32.583330000000004,10
2020-10-05,243.25,10
2020-10-12,20.41666,9
2020-10-19,322.51667,21
2020-10-26,129.78334,17
2020-11-02,36.783339999999995,8
2020-11-09,19.25001,8
2020-11-16,82.7,11
2020-11-23,1073.4166599999999,16
2020-11-30,65.65,17
2020-12-07,185.0,11
2020-12-14,194.83333,12
2020-12-21,15.83333,7
2020-12-28,179.95,7
2021-01-04,173.93333,7
2021-01-11,15.63332,7
2021-01-18,0.0,0
2021-01-25,2.25,2
2021-02-01,2240.58333,2
2021-02-08,4.16667,3
2021-02-15,224.68333,7
2021-02-22,16.0,3
2021-03-01,2.16667,2
2021-03-08,1.0,2
2021-03-15,0.5,1
2021-03-22,106.16667000000001,3
2021-03-29,0.0,0
2021-04-05,571.1666700000001,3
2021-04-12,240.91667,11
2021-04-19,111.33333999999999,12
2021-04-26,168.23334,8
2021-05-03,72.91666000000001,9
2021-05-10,182.7,12
2021-05-17,19.91667,9
2021-05-24,103.91666000000001,10
2021-05-31,59.883340000000004,14
2021-06-07,17.21667,7
2021-06-14,93.74999000000001,12
2021-06-21,16.56665,14
2021-06-28,247.25,17
2021-07-05,81.5,14
2021-07-12,380.99998,21
2021-07-19,304.25,10
2021-07-26,16.5,7
2021-08-02,18.16667,5
2021-08-09,142.33332000000001,14
2021-08-16,97.91665,16
2021-08-23,516.5833299999999,12
2021-08-30,87.83332,15
2021-09-06,62.05001,20
2021-09-13,386.55,12
2021-09-20,117.66666000000001,4
2021-09-27,1397.20001,39
2021-10-04,1289.15002,15
2021-10-11,193.91666,11
2021-10-18,16.58333,2
2021-10-25,120.50001,14
2021-11-01,419.1,25
2021-11-08,245.81668,18
2021-11-15,420.31667,23
2021-11-22,157.91666,10
2021-11-29,110.46664,21
2021-12-06,208.51666,23
2021-12-13,19315.16668,18
2021-12-20,295.41667,10
2021-12-27,354.83333,10
2022-01-03,71.25,17
2022-01-10,167.31668,15
2022-01-17,1124.8333400000001,14
2022-01-24,277.13334,21
2022-01-31,454.99998999999997,26
2022-02-07,223.31667,21
2022-02-14,64.83333,14
2022-02-21,96975.58333,61
2022-02-28,334.68331,30
2022-03-07,49.66666,12
2022-03-14,33.5,12
2022-03-21,244.99999,9
2022-03-28,34.38332,17
2022-04-04,149.41667999999999,27
2022-04-11,597.0333400000001,27
2022-04-18,238.94998999999999,20
2022-04-25,56.08331,18
2022-05-02,116.08332,19
2022-05-09,286.83334,25
2022-05-16,692.2,22
2022-05-23,345.24996,51
2022-05-30,112.86664999999999,36
2022-06-06,380.01664,33
2022-06-13,90.23334,24
2022-06-20,72.35,33
2022-06-27,298.91664,26
2022-07-04,446.0,18
2022-07-11,115.74998,21
2022-07-18,116.35,30
2022-07-25,297.21666,36
2022-08-01,196.49999,32
2022-08-08,168.06666,39
2022-08-15,227.91666,28
2022-08-22,2369.53333,41
2022-08-29,6710.066650000001,43
2022-09-05,28223.23332,63
2022-09-12,117.03332,26
2022-09-19,127.3,35
2022-09-26,143.99999,26
2022-10-03,211.88334,28
2022-10-10,2763.60001,30
2022-10-17,132.33332,23
2022-10-24,504.0,41
2022-10-31,311.33334,41
2022-11-07,248.99999,43
2022-11-14,393.13331999999997,40
2022-11-21,238.58333,25
2022-11-28,10094.68334,45
2022-12-05,141.03333,26
2022-12-12,144.58332000000001,17
2022-12-19,82.41666000000001,22
2022-12-26,249.18331,27
2023-01-02,169.49998,33
2023-01-09,2643.91667,29
2023-01-16,694.18332,37
2023-01-23,254.68332,39
2023-01-30,188.38332,34
2023-02-06,31.03333,21
2023-02-13,346.79998,31
2023-02-20,949.9666599999999,36
2023-02-27,390.23334,44
2023-03-06,162.0,33
2023-03-13,2781.99998,51
2023-03-20,101.58332,35
2023-03-27,307.75001,25
2023-04-03,57.51668,32
2023-04-10,171.88333,29
2023-04-17,936.13332,26
2023-04-24,1644.58333,40
2023-05-01,56.41667,29
2023-05-08,881.16667,26
2023-05-15,2040.49999,18
2023-05-22,246.99999,16
2023-05-29,3521.49998,17
2023-06-05,101.0,1
2023-06-12,35.58334,3
2023-06-19,3.0,2
2023-06-26,501.58334,7
2023-07-03,24.0,8
2023-07-10,73.16668,26
2023-07-17,1161.74998,23
2023-07-24,97.99999,20
2023-07-31,45.95001,25
2023-08-07,104.13333,18
2023-08-14,781.24997,33
2023-08-21,721.25,12
2023-08-28,258.46667,38
2023-09-04,81.49999,31
2023-09-11,577.53334,34
2023-09-18,7331.98331,40
2023-09-25,101.55,26
2023-10-02,476.63332,19
2023-10-09,565.94996,46
2023-10-16,430.46666,35
2023-10-23,218.66667,33
2023-10-30,325.36665,56
2023-11-06,1528.2166399999999,39
2023-11-13,473.66665,35
2023-11-20,43759.63334,47
2023-11-27,112.96667000000001,20
2023-12-04,929.41666,29
2023-12-11,1193.6166799999999,48
2023-12-18,42.63332,16
2023-12-25,127.85,35
2024-01-01,246.0,41
2024-01-08,209.63331,22
2024-01-15,379.16666,25
2024-01-22,43.73333,42
2024-01-29,48.56667,24
2024-02-05,612.73332,29
2024-02-12,121.95002,23
2024-02-19,611.68331,41
2024-02-26,50.00002,27
2024-03-04,2177.08332,36
2024-03-11,353.78333000000003,35
2024-03-18,232.38332,35
2024-03-25,473.30001999999996,49
2024-04-01,1340.75002,31
2024-04-08,248.93332,88
2024-04-15,180.99994,46
2024-04-22,8885.96664,98
2024-04-29,678.63334,74
2024-05-06,438.23334,84
2024-05-13,1011.26662,98
2024-05-20,643.86668,76
2024-05-27,2426.2,88
2024-06-03,2289.89998,86
2024-06-10,18170.10002,74
2024-06-17,294.20002,68
2024-06-24,2269.99994,80
2024-07-01,157.46666,74
2024-07-08,807.1333,70
2024-07-15,703.06666,100
2024-07-22,632.09998,110
2024-07-29,478.89997999999997,82
2024-08-05,698.60002,62
2024-08-12,558.96666,86
2024-08-19,144.43334,68
2024-08-26,981.9333399999999,64
2024-09-02,596.89996,50
2024-09-09,4631.066680000001,88
2024-09-16,188.93336,74
2024-09-23,592.60004,74
2024-09-30,64.0333,66
2024-10-07,114.0,84
2024-10-14,169.6667,102
2024-10-21,120.4667,90
2024-10-28,990.2666399999999,102
2024-11-04,716.53336,76
2024-11-11,111.43332,60
2024-11-18,141.83332,74
2024-11-25,130.9,56
2024-12-02,147.56664,60
2024-12-09,69.79998,56
2024-12-16,191.63332,58
2024-12-23,248.6333,40
2024-12-30,625.9,56
2025-01-06,277.83332,48
2025-01-13,181.40004,52
2025-01-20,82.76662,50
2025-01-27,134.86666,96
2025-02-03,165.49998,86
2025-02-10,397.26666,96
2025-02-17,8291.33326,72
2025-02-24,1728.4332800000002,66
2025-03-03,276.30004,84
2025-03-10,158.09998,86
2025-03-17,157.90002,64
2025-03-24,102.89998,84
2025-03-31,363.0,52
2025-04-07,69.95,32
2025-04-14,204.04999,34
2025-04-21,53.26667,41
2025-04-28,37.983309999999996,16
